County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Gas Station,SPEEDWAY LLC                     ,SPEEDWAY #07708        ,2500,42.754424,-73.700539
Albany,Store,GREEN ISLAND MART INC            ,GREEN ISLAND MART      ,1800,42.746003,-73.691984
Albany,Grocery/Manufacturer,"SAEED SADIQ, SAIKA NOREEN        ",19 STREET QUICK STOP   ,1200,42.73063,-73.703443
Albany,Gas Station,SUNOCO RETAIL LLC                ,SUNOCO #2706           ,3000,42.690493,-73.821889
Albany,Store,ADIRONDACK S AND S LLC           ,NEWSSTAND              ,600,42.687038,-73.850605
Albany,Grocery/Manufacturer,SAUCY BOY LLC                    ,SAUCY BOY              ,0,42.693853,-73.773554
Albany,Grocery/Manufacturer,N & M MART CORP                  ,N & M MART             ,0,42.70305,-73.816231
Albany,Mini Mart,LITHIA ARMORY GARAGE LLC         ,ARMORY MINI MART       ,0,42.681304,-73.79143
Albany,Grocery/Manufacturer,EL PILON MARKET INC              ,EL PILON MARKET        ,1500,42.644507,-73.755425
Albany,Grocery/Manufacturer,YEMLIHA KAYA                     ,GULKAYA                ,800,42.735034,-73.985823
Albany,Gas Station,MANI PETROLINE INC               ,MANI PETROLINE         ,0,42.46927,-73.815353
Albany,Gas Station,SPEEDWAY LLC                     ,SPEEDWAY #07710        ,2500,42.639441,-73.854274
Albany,Grocery/Manufacturer,SHREE DAKSAH INC                 ,PINE HILLS MARKET      ,1200,42.661976,-73.780467
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,RITE AID #10684        ,8000,42.763655,-73.755404
Albany,Grocery/Manufacturer,TRI-CITY MART INC                ,TRI-CITY MART          ,1600,42.768765,-73.70083
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,RITE AID #10690        ,10500,42.73078,-73.701397
Albany,Grocery/Manufacturer,VIOSTRA HOLDINGS INC             ,ROUTE 20 CAFE          ,1200,42.69096,-73.868679
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,RITE AID #10692        ,10000,42.681478,-73.791629
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,RITE AID #10695        ,10000,42.705369,-73.776379
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,RITE AID #10699        ,12000,42.772845,-73.824616
Albany,Grocery/Manufacturer,ZACHAREWICZ SOODKANONG           ,SHORT AND STOUT TEA COM,863,42.687038,-73.850605
Albany,Grocery/Manufacturer,DEANNE SAPEL                     ,ZOPALS CHEESECAKE      ,0,42.693853,-73.773554
Albany,Grocery/Manufacturer,BRITO RICHARD                    ,SE7EN DOMINICAN BODEGA ,1200,42.657999,-73.764778
Albany,Grocery/Manufacturer,QUAIL STREET MARKET CORP         ,DEB'S MRKT & BEAUTY SUP,7000,42.668725,-73.768746
